year,month,adm1,lc_class,lc_name,ndvi,temp_c,soil_moisture,precip_mm
2017.0,1.0,Baden-Wuerttemberg,1,forest,0.4922544881420356,-4.113644571232194,0.3953850306137874,63.684235958490504
2017.0,1.0,Baden-Wuerttemberg,2,cropland,0.2604643269575354,-3.5906842728993893,0.3962113451202817,54.82705704841883
2017.0,1.0,Baden-Wuerttemberg,3,grassland,0.36853664898946586,-4.225889412357743,0.4010526436677626,64.45954489544602
2017.0,1.0,Baden-Wuerttemberg,4,other,0.29495942130972835,-3.4104451468263997,0.3914612396526581,60.000091838704854
2017.0,1.0,Bayern,1,forest,0.41828051466870375,-4.987962615519065,0.3556976098146283,61.8735846132732
2017.0,1.0,Bayern,2,cropland,0.1832276784122294,-4.23628573957874,0.36807002132196376,51.26713893937508
2017.0,1.0,Bayern,3,grassland,0.3780327881228488,-5.142426803896607,0.36102917577453275,69.5574311408793
2017.0,1.0,Bayern,4,other,0.22391225896005673,-4.543433046855466,0.36047702917023566,59.922402385519696
2017.0,1.0,Berlin,1,forest,0.4464118311219541,-1.4559234522180973,0.3653061779978186,50.84540340990995
2017.0,1.0,Berlin,2,cropland,0.2989595238095238,-1.4385020217040918,0.3651092336185203,51.79746408838361
2017.0,1.0,Berlin,3,grassland,0.3481796191779261,-1.443186895446314,0.3650785702517607,51.63226433382791
2017.0,1.0,Berlin,4,other,0.2976027274001399,-1.5179606047869056,0.36454496844329665,50.742031246672596
2017.0,1.0,Brandenburg,1,forest,0.49179278453398156,-1.5100502961894278,0.38414708635768896,50.69243741579698
2017.0,1.0,Brandenburg,2,cropland,0.24788075070401225,-1.4200544735257892,0.3901115396856676,50.961049621423626
2017.0,1.0,Brandenburg,3,grassland,0.3147302450738095,-1.3736614205254467,0.4060005138763884,50.97494326221779
2017.0,1.0,Brandenburg,4,other,0.2872525366658811,-1.5452251785265458,0.39581593075750476,50.383600683455
2017.0,1.0,Bremen,1,forest,0.25498541735265073,0.32679261324785697,0.41222747715260044,67.80765368264964
2017.0,1.0,Bremen,2,cropland,0.14333369958461747,0.19539986499034215,0.39675275722947423,69.5155835959328
2017.0,1.0,Bremen,3,grassland,0.1842701874556693,0.3006441322914417,0.4047447688970128,68.1343684876953
2017.0,1.0,Bremen,4,other,0.18966257285512533,0.39924741321215956,0.3985589375628048,66.90355505765004
2017.0,1.0,Hamburg,1,forest,0.47358980699431213,0.18624728942495947,0.3403471669788257,57.13454366348501
2017.0,1.0,Hamburg,2,cropland,0.4518884451934346,0.045723070179477986,0.41362219184013793,58.57248230908638
2017.0,1.0,Hamburg,3,grassland,0.47211232976055867,0.09997550224892672,0.3928829759018459,58.40074477499439
2017.0,1.0,Hamburg,4,other,0.29597909386159565,0.15110655307499637,0.38407568401927256,57.93515747293179
2017.0,1.0,Hessen,1,forest,0.39319051697248597,-2.5994696977441256,0.36993862013278306,48.055972639821064
2017.0,1.0,Hessen,2,cropland,0.2646790561348942,-2.2713844588922276,0.3710173320279681,46.02869023750262
2017.0,1.0,Hessen,3,grassland,0.23870872627177891,-2.837329725307654,0.36951547958284303,49.825503518851754
2017.0,1.0,Hessen,4,other,0.32752809742378614,-2.0211682149062185,0.37101364863379466,44.183507577896115
2017.0,1.0,Mecklenburg-Vorpommern,1,forest,0.46071461534078867,-0.5349261144774151,0.3506839146353932,52.209299973551445
2017.0,1.0,Mecklenburg-Vorpommern,2,cropland,0.3643459637490528,-0.45148810981740534,0.36237961508327815,50.76187302569995
2017.0,1.0,Mecklenburg-Vorpommern,3,grassland,0.36068378768178794,-0.4388153793577934,0.35558078709884594,51.38985916668619
2017.0,1.0,Mecklenburg-Vorpommern,4,other,0.2533787608634713,-0.49807445463916833,0.3586595698652801,51.75614150325783
2017.0,1.0,Niedersachsen,1,forest,0.4087629382286019,-0.5285794109704609,0.3491975876495811,63.30222163946751
2017.0,1.0,Niedersachsen,2,cropland,0.2838335963557456,-0.22972155720057502,0.3694058494153764,63.89334209407555
2017.0,1.0,Niedersachsen,3,grassland,0.3660389863770056,0.34437476770273817,0.41304572380543564,62.25293146578332
2017.0,1.0,Niedersachsen,4,other,0.30945558362044556,-0.12686048824361518,0.39794924317440605,62.73418692400727
2017.0,1.0,Nordrhein-Westfalen,1,forest,0.45959169690490476,-1.3723610968722366,0.3634329857971974,73.14051130833165
2017.0,1.0,Nordrhein-Westfalen,2,cropland,0.44721943351216786,-0.3143217276224491,0.3451638427472127,67.64012323971049
2017.0,1.0,Nordrhein-Westfalen,3,grassland,0.42016085703323836,-1.2392899494280325,0.36005074157779415,72.41269348815638
2017.0,1.0,Nordrhein-Westfalen,4,other,0.39812951782717076,-0.31892160055492647,0.36425613896107284,70.65710564580927
2017.0,1.0,Rheinland-Pfalz,1,forest,0.39415293895078957,-2.307937020212655,0.3689604122402387,48.769197950402756
2017.0,1.0,Rheinland-Pfalz,2,cropland,0.2365581677556926,-1.911772545706758,0.3734425785598642,43.49975802681707
2017.0,1.0,Rheinland-Pfalz,3,grassland,0.255889277311089,-2.2888881780525443,0.3709897724672209,49.37891613348088
2017.0,1.0,Rheinland-Pfalz,4,other,0.3408904009858177,-1.7501207163399952,0.38320413434447687,44.42050845543635
2017.0,1.0,Saarland,1,forest,0.4275074115312144,-1.7709558726216341,0.3695173949839587,47.40921812407834
2017.0,1.0,Saarland,2,cropland,0.3454289736448348,-1.569697555642092,0.369932752542203,47.38223543897139
2017.0,1.0,Saarland,3,grassland,0.33355815172063663,-1.8101310970374151,0.3699968226813567,47.14483663578116
2017.0,1.0,Saarland,4,other,0.4026094589039971,-1.489361000650545,0.36728361077471433,47.20672217637621
2017.0,1.0,Sachsen,1,forest,0.5586402478637541,-3.9330051120819727,0.3619365069569202,64.55112342975654
2017.0,1.0,Sachsen,2,cropland,0.37183312228462717,-3.1516782854767507,0.3684211026293393,63.01846697628428
2017.0,1.0,Sachsen,3,grassland,0.4347288180282663,-3.9028566466088828,0.3626458130366823,65.39053529830383
2017.0,1.0,Sachsen,4,other,0.2959216654839645,-3.0067966936492425,0.3677243777062939,60.32651147903629
2017.0,1.0,Sachsen-Anhalt,1,forest,0.43738987553872355,-1.5042824437522648,0.38550048193124953,48.712288663902854
2017.0,1.0,Sachsen-Anhalt,2,cropland,0.3035369610196319,-1.2930518491788843,0.38036430322146286,45.867909437258184
2017.0,1.0,Sachsen-Anhalt,3,grassland,0.3103675053989426,-1.188618560641892,0.39481300620287696,48.884100374290995
2017.0,1.0,Sachsen-Anhalt,4,other,0.2991003119526378,-1.4097328260650368,0.3860623462366047,45.38668786393944
2017.0,1.0,Schleswig-Holstein,1,forest,0.5620986575932418,0.5687485370849588,0.31086476970200855,48.652284627495725
2017.0,1.0,Schleswig-Holstein,2,cropland,0.5523351637614943,0.7653542710735831,0.3262456443242502,46.6396447908937
2017.0,1.0,Schleswig-Holstein,3,grassland,0.5695333938198779,0.9413167953053309,0.30508278198310734,46.29694676914375
2017.0,1.0,Schleswig-Holstein,4,other,0.4260429456904513,0.7552135893474413,0.33037792364412966,46.628411465567424
2017.0,1.0,Thueringen,1,forest,0.458087291111487,-3.808646190777247,0.3596011088307451,51.40219630913944
2017.0,1.0,Thueringen,2,cropland,0.31490922726446513,-2.8192303703827024,0.3606690516581754,46.33010409480684
2017.0,1.0,Thueringen,3,grassland,0.3123943712123624,-3.549512145329891,0.360135971482195,50.04430093313652
2017.0,1.0,Thueringen,4,other,0.3279653773891768,-3.096218299560642,0.35964925601404485,47.45245660674349
2017.0,2.0,Baden-Wuerttemberg,1,forest,0.5804385788048431,3.2087951403290003,0.41752747508790244,60.60244010600996
2017.0,2.0,Baden-Wuerttemberg,2,cropland,0.43439057665202485,3.513619704074005,0.41566886835931244,52.098168579316926
2017.0,2.0,Baden-Wuerttemberg,3,grassland,0.500779153800216,2.984446674599113,0.42383419665186667,58.70877361969476
2017.0,2.0,Baden-Wuerttemberg,4,other,0.3730316033279201,3.5865976526991203,0.410736442405226,56.04930545831766
2017.0,2.0,Bayern,1,forest,0.5436346598014533,2.0204940279862273,0.3865796932945515,50.544642110387294
2017.0,2.0,Bayern,2,cropland,0.4385985070707304,2.7619052362576433,0.39519908522208735,43.60016554617173
2017.0,2.0,Bayern,3,grassland,0.4710211679503547,1.8987768007426369,0.3945059339306645,54.04704088631329
2017.0,2.0,Bayern,4,other,0.3787666794858089,2.484571912752643,0.3899320364027557,48.05762603899339
2017.0,2.0,Berlin,1,forest,0.4258222563146083,1.9310684002007747,0.3814610767269239,42.926466396172934
2017.0,2.0,Berlin,2,cropland,0.41928131469979296,1.8572435348753134,0.381548948386923,43.15995523400916
2017.0,2.0,Berlin,3,grassland,0.3749786386180947,1.8752135331673008,0.38142842461174625,43.091058405026104
2017.0,2.0,Berlin,4,other,0.27853181219341266,1.9068725686154098,0.3807499844247092,42.89030192332135
